"Date","Price","Open","High","Low","Vol.","Change %"
"17-05-2021","1,278.00","1,278.00","1,278.00","1,278.00","","0.71%"
"14-05-2021","1,269.00","1,269.00","1,269.00","1,269.00","","0.79%"
"13-05-2021","1,259.00","1,259.00","1,259.00","1,259.00","","1.45%"
"12-05-2021","1,241.00","1,241.00","1,241.00","1,241.00","","1.47%"
"11-05-2021","1,223.00","1,223.00","1,223.00","1,223.00","","1.66%"
"10-05-2021","1,203.00","1,203.00","1,203.00","1,203.00","","1.18%"
"07-05-2021","1,189.00","1,189.00","1,189.00","1,189.00","","1.02%"
"06-05-2021","1,177.00","1,177.00","1,177.00","1,177.00","","0.94%"
"05-05-2021","1,166.00","1,166.00","1,166.00","1,166.00","","0.87%"
"04-05-2021","1,156.00","1,156.00","1,156.00","1,156.00","","0.96%"
"30-04-2021","1,145.00","1,145.00","1,145.00","1,145.00","","0.35%"
"29-04-2021","1,141.00","1,141.00","1,141.00","1,141.00","","2.15%"
"28-04-2021","1,117.00","1,117.00","1,117.00","1,117.00","","0.36%"
"27-04-2021","1,113.00","1,113.00","1,113.00","1,113.00","","0.82%"
"26-04-2021","1,104.00","1,104.00","1,104.00","1,104.00","","1.10%"
"23-04-2021","1,092.00","1,092.00","1,092.00","1,092.00","","1.96%"
"22-04-2021","1,071.00","1,071.00","1,071.00","1,071.00","","2.68%"
"21-04-2021","1,043.00","1,043.00","1,043.00","1,043.00","","1.76%"
"20-04-2021","1,025.00","1,025.00","1,025.00","1,025.00","","1.08%"
"19-04-2021","1,014.00","1,014.00","1,014.00","1,014.00","","0.80%"
"16-04-2021","1,006.00","1,006.00","1,006.00","1,006.00","","0.70%"
"15-04-2021","999.00","999.00","999.00","999.00","","-0.50%"
"14-04-2021","1,004.00","1,004.00","1,004.00","1,004.00","","-1.08%"
"13-04-2021","1,015.00","1,015.00","1,015.00","1,015.00","","-1.65%"
"12-04-2021","1,032.00","1,032.00","1,032.00","1,032.00","","-1.62%"
"09-04-2021","1,049.00","1,049.00","1,049.00","1,049.00","","-1.78%"
"08-04-2021","1,068.00","1,068.00","1,068.00","1,068.00","","-2.02%"
"07-04-2021","1,090.00","1,090.00","1,090.00","1,090.00","","-1.80%"
"06-04-2021","1,110.00","1,110.00","1,110.00","1,110.00","","-2.37%"
"01-04-2021","1,137.00","1,137.00","1,137.00","1,137.00","","-2.57%"
"31-03-2021","1,167.00","1,167.00","1,167.00","1,167.00","","-2.83%"
"30-03-2021","1,201.00","1,201.00","1,201.00","1,201.00","","-3.53%"
"29-03-2021","1,245.00","1,245.00","1,245.00","1,245.00","","-2.12%"
"26-03-2021","1,272.00","1,272.00","1,272.00","1,272.00","","-1.24%"
"25-03-2021","1,288.00","1,288.00","1,288.00","1,288.00","","-2.35%"
"24-03-2021","1,319.00","1,319.00","1,319.00","1,319.00","","-2.01%"
"23-03-2021","1,346.00","1,346.00","1,346.00","1,346.00","","-0.74%"
"22-03-2021","1,356.00","1,356.00","1,356.00","1,356.00","","-0.29%"
"19-03-2021","1,360.00","1,360.00","1,360.00","1,360.00","","0.22%"
"18-03-2021","1,357.00","1,357.00","1,357.00","1,357.00","","2.26%"
"17-03-2021","1,327.00","1,327.00","1,327.00","1,327.00","","1.53%"
"16-03-2021","1,307.00","1,307.00","1,307.00","1,307.00","","0.85%"
"15-03-2021","1,296.00","1,296.00","1,296.00","1,296.00","","1.01%"
"12-03-2021","1,283.00","1,283.00","1,283.00","1,283.00","","1.91%"
"11-03-2021","1,259.00","1,259.00","1,259.00","1,259.00","","3.03%"
"10-03-2021","1,222.00","1,222.00","1,222.00","1,222.00","","3.47%"
"09-03-2021","1,181.00","1,181.00","1,181.00","1,181.00","","2.25%"
"08-03-2021","1,155.00","1,155.00","1,155.00","1,155.00","","2.12%"
"05-03-2021","1,131.00","1,131.00","1,131.00","1,131.00","","2.91%"
"04-03-2021","1,099.00","1,099.00","1,099.00","1,099.00","","0.73%"
"03-03-2021","1,091.00","1,091.00","1,091.00","1,091.00","","0.37%"
"02-03-2021","1,087.00","1,087.00","1,087.00","1,087.00","","0.74%"
"01-03-2021","1,079.00","1,079.00","1,079.00","1,079.00","","0.84%"
"26-02-2021","1,070.00","1,070.00","1,070.00","1,070.00","","1.90%"
"25-02-2021","1,050.00","1,050.00","1,050.00","1,050.00","","3.14%"
"24-02-2021","1,018.00","1,018.00","1,018.00","1,018.00","","4.09%"
"23-02-2021","978.00","978.00","978.00","978.00","","3.49%"
"22-02-2021","945.00","945.00","945.00","945.00","","4.88%"
"19-02-2021","901.00","901.00","901.00","901.00","","6.75%"
"18-02-2021","844.00","844.00","844.00","844.00","","5.50%"
"17-02-2021","800.00","800.00","800.00","800.00","","3.76%"
"16-02-2021","771.00","771.00","771.00","771.00","","1.72%"
"15-02-2021","758.00","758.00","758.00","758.00","","0.93%"
"12-02-2021","751.00","751.00","751.00","751.00","","0.27%"
"11-02-2021","749.00","749.00","749.00","749.00","","1.08%"
"10-02-2021","741.00","741.00","741.00","741.00","","1.09%"
"09-02-2021","733.00","733.00","733.00","733.00","","1.10%"
"08-02-2021","725.00","725.00","725.00","725.00","","0.83%"
"05-02-2021","719.00","719.00","719.00","719.00","","0.98%"
"04-02-2021","712.00","712.00","712.00","712.00","","0.42%"
"03-02-2021","709.00","709.00","709.00","709.00","","0.42%"
"02-02-2021","706.00","706.00","706.00","706.00","","0.43%"
"01-02-2021","703.00","703.00","703.00","703.00","","0.29%"
"29-01-2021","701.00","701.00","701.00","701.00","","0.57%"
"28-01-2021","697.00","697.00","697.00","697.00","","1.16%"
"27-01-2021","689.00","689.00","689.00","689.00","","0.88%"
"26-01-2021","683.00","683.00","683.00","683.00","","0.89%"
"25-01-2021","677.00","677.00","677.00","677.00","","1.04%"
"22-01-2021","670.00","670.00","670.00","670.00","","0.60%"
"21-01-2021","666.00","666.00","666.00","666.00","","0.91%"
"20-01-2021","660.00","660.00","660.00","660.00","","0.61%"
"19-01-2021","656.00","656.00","656.00","656.00","","0.31%"
"18-01-2021","654.00","654.00","654.00","654.00","","0.15%"
"15-01-2021","653.00","653.00","653.00","653.00","","0.31%"
"14-01-2021","651.00","651.00","651.00","651.00","","0.15%"
"13-01-2021","650.00","650.00","650.00","650.00","","0.00%"
"12-01-2021","650.00","650.00","650.00","650.00","","-0.31%"
"11-01-2021","652.00","652.00","652.00","652.00","","-0.61%"
"08-01-2021","656.00","656.00","656.00","656.00","","-0.76%"
"07-01-2021","661.00","661.00","661.00","661.00","","-0.15%"
"06-01-2021","662.00","662.00","662.00","662.00","","-0.60%"
"05-01-2021","666.00","666.00","666.00","666.00","","-0.45%"
"04-01-2021","669.00","669.00","669.00","669.00","","-1.18%"
"24-12-2020","677.00","677.00","677.00","677.00","","0.00%"
"23-12-2020","677.00","677.00","677.00","677.00","","-0.15%"
"22-12-2020","678.00","678.00","678.00","678.00","","0.00%"
"21-12-2020","678.00","678.00","678.00","678.00","","0.00%"
"18-12-2020","678.00","678.00","678.00","678.00","","0.30%"
