"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2017","933.00","933.00","933.00","933.00","","0.00%"
"07/14/2017","933.00","933.00","933.00","933.00","","0.54%"
"07/13/2017","928.00","928.00","928.00","928.00","","9.69%"
"07/12/2017","846.00","846.00","846.00","846.00","","12.05%"
"07/11/2017","755.00","755.00","755.00","755.00","","3.42%"
"07/10/2017","730.00","730.00","730.00","730.00","","-3.05%"
"07/07/2017","753.00","753.00","753.00","753.00","","-7.95%"
"07/06/2017","818.00","818.00","818.00","818.00","","-9.21%"
"07/05/2017","901.00","901.00","901.00","901.00","","-9.63%"
"07/04/2017","997.00","997.00","997.00","997.00","","-3.39%"
"07/03/2017","1,032.00","1,032.00","1,032.00","1,032.00","","-4.97%"
"06/30/2017","1,086.00","1,086.00","1,086.00","1,086.00","","-5.24%"
"06/29/2017","1,146.00","1,146.00","1,146.00","1,146.00","","-2.05%"
"06/28/2017","1,170.00","1,170.00","1,170.00","1,170.00","","9.76%"
"06/27/2017","1,066.00","1,066.00","1,066.00","1,066.00","","6.07%"
"06/26/2017","1,005.00","1,005.00","1,005.00","1,005.00","","1.82%"
"06/23/2017","987.00","987.00","987.00","987.00","","-0.60%"
"06/22/2017","993.00","993.00","993.00","993.00","","-2.65%"
"06/21/2017","1,020.00","1,020.00","1,020.00","1,020.00","","-8.11%"
"06/20/2017","1,110.00","1,110.00","1,110.00","1,110.00","","-5.05%"
"06/19/2017","1,169.00","1,169.00","1,169.00","1,169.00","","-3.63%"
"06/16/2017","1,213.00","1,213.00","1,213.00","1,213.00","","-5.01%"
"06/15/2017","1,277.00","1,277.00","1,277.00","1,277.00","","-6.24%"
"06/14/2017","1,362.00","1,362.00","1,362.00","1,362.00","","-5.55%"
"06/13/2017","1,442.00","1,442.00","1,442.00","1,442.00","","-2.63%"
"06/12/2017","1,481.00","1,481.00","1,481.00","1,481.00","","2.99%"
"06/09/2017","1,438.00","1,438.00","1,438.00","1,438.00","","4.13%"
"06/08/2017","1,381.00","1,381.00","1,381.00","1,381.00","","0.15%"
"06/07/2017","1,379.00","1,379.00","1,379.00","1,379.00","","0.95%"
"06/06/2017","1,366.00","1,366.00","1,366.00","1,366.00","","0.96%"
"06/05/2017","1,353.00","1,353.00","1,353.00","1,353.00","","-1.53%"
"06/02/2017","1,374.00","1,374.00","1,374.00","1,374.00","","-3.92%"
"06/01/2017","1,430.00","1,430.00","1,430.00","1,430.00","","-5.36%"
"05/31/2017","1,511.00","1,511.00","1,511.00","1,511.00","","-3.39%"
"05/30/2017","1,564.00","1,564.00","1,564.00","1,564.00","","-1.70%"
"05/26/2017","1,591.00","1,591.00","1,591.00","1,591.00","","-0.25%"
